FoodItem,FoodCategory,Calorie
Burger King Whopper with  Veg, Veg,241
 Vegburger, Veg,263
Chicken Breast,Non Veg,163
Chicken Fajita,Non Veg,147
Chicken McNuggets,Non Veg,302
Chicken Nuggets,Non Veg,296
Chicken Pizziola,Non Veg,141
Chicken Sandwich,Non Veg,241
Chicken Teriyaki Sandwich,Non Veg,138
Chicken Wings,Non Veg,324
Chop Suey, Veg,172
Curly Fries, Veg,311
Double  Vegburger, Veg,267
Egg Roll,Non Veg,250
Falafel, Veg,335
Filet-o-Fish,Non Veg,282
Fish and Chips,Non Veg,195
Fish Sandwich,Non Veg,273
French Fries, Veg,312
Grilled Chicken Salad,Non Veg,88
Ham Sandwich,Non Veg,241
Hamburger,Non Veg,254
Hot Dog,Non Veg,269
Italian BMT, Veg,183
Lasagna, Veg,132
McDonald’s Big Mac, Veg,256
McDonald’s  Vegburger, Veg,263
McDonald’s Chicken Nuggets,Non Veg,297
McDonald’s Double  Vegburger, Veg,282
McDonald’s Filet-o-Fish, Veg,275
McDonald’s McChicken,Non Veg,251
McDonald’s McDouble, Veg,252
McDonald’s McMuffi Egg,Non Veg,225
McDonald’s McRib, Veg,265
McDonald’s Mighty Wings,Non Veg,308
McRib, Veg,265
Non Vegball Sandwich, Veg,161
Nachos with  Veg, Veg,306
Onion Rings, Veg,411
Smoked Salmon, Veg,158
Spicy Italian, Veg,219
Subway Club Sandwich, Veg,131
Tortilla Wrap,Non Veg,271
Tuna,Non Veg,86
Turkey,Non Veg,104
Veggie Burger, Veg,181
Veggie Delight, Veg,138
Veggie Patty, Veg,390
Wendy’s Baconator, Veg,304
Wendy’s Jr. Bacon  Vegburger, Veg,261
Wendy’s Jr.  Vegburger, Veg,225
Wendy’s Son of Baconator, Veg,321
Whopper, Veg,231
Zinger, Veg,256
Zinger Burger, Veg,256
Poutine, Veg,227
BBQ Chicken  Veg,Non Veg,234
BBQ  Veg,Non Veg,224
Beef  Veg,Non Veg,304
Bianca  Veg,Non Veg,246
Buffalo Chicken  Veg,Non Veg,252
abrese  Veg, Veg,235
zone, Veg,231
Capricciosa  Veg, Veg,260
 Veg  Veg, Veg,267
Chicken  Veg,Non Veg,234
Deep Dish  Veg, Veg,265
Dominos Philly  Veg Steak  Veg, Veg,224
Four  Veg  Veg, Veg,221
Goat  Veg  Veg, Veg,219
Grilled  Veg, Veg,226
Hawaiian  Veg, Veg,115
Margherita  Veg, Veg,275
Mozzarella  Veg, Veg,249
Mushroom  Veg, Veg,212
Napoli  Veg, Veg,202
New York Style  Veg, Veg,169
Pepperoni  Veg, Veg,255
 Veg Dough, Veg,228
